mapping_id,industry_key,industry_code,industry_name,transaction_keywords,transaction_type,recommended_account_code,recommended_account_name,score,reason,caution
ECOM-001,ECOM,DEMO-ECOM-001,전자상거래 소매업,광고|키워드 광고|SNS 광고,온라인 광고 집행,X007,광고선전비,0.92,온라인 판매 촉진 목적 광고 지출 가능성이 높음,광고대행 수수료가 함께 청구되면 수수료비용과 분리 검토
ECOM-002,ECOM,DEMO-ECOM-001,전자상거래 소매업,택배|배송|운송장|CJ대한통운,상품 배송비,X012,운반비,0.90,고객 배송과 직접 관련된 비용 가능성이 높음,매입 운송비는 상품매입 부대비용 검토
ECOM-003,ECOM,DEMO-ECOM-001,전자상거래 소매업,사입|도매|상품 매입,판매용 상품 구입,X010,상품매입,0.91,재판매 목적 상품 구입 가능성이 높음,사무용 물품 구입과 구분 필요
ECOM-004,ECOM,DEMO-ECOM-001,전자상거래 소매업,스마트스토어 수수료|PG 수수료|결제대행,플랫폼/결제 수수료,X006,수수료비용,0.89,플랫폼 이용료 또는 결제대행 수수료 성격,광고비와 섞여 청구되면 구분 필요
ECOM-005,ECOM,DEMO-ECOM-001,전자상거래 소매업,박스|봉투|테이프|완충재,포장재 구매,X013,소모품비,0.79,포장에 반복 사용되는 소모성 물품 성격,상품 구성품이면 상품매입 검토
ECOM-006,ECOM,DEMO-ECOM-001,전자상거래 소매업,촬영 소품|상품 촬영|상세페이지 외주,콘텐츠 제작 외주,X017,외주용역비,0.77,상품 홍보용 제작 용역비 가능성,광고매체 집행비와 구분 필요
ECOM-007,ECOM,DEMO-ECOM-001,전자상거래 소매업,창고 임대료|보관료|풀필먼트 창고,창고 사용료,X004,임차료,0.82,상품 보관 공간 사용료 성격,보관·출고 수수료는 수수료비용 검토
ECOM-008,ECOM,DEMO-ECOM-001,전자상거래 소매업,인터넷|전화|회선,통신 서비스 사용료,X014,통신비,0.73,사무 운영용 통신 서비스 비용,클라우드 사용료와 구분 필요
ECOM-009,ECOM,DEMO-ECOM-001,전자상거래 소매업,노트북|바코드 프린터|촬영 장비,운영 장비 구입,A021,비품,0.75,사업용 장비 취득 가능성이 높음,소액 비품은 소모품비 검토
ECOM-010,ECOM,DEMO-ECOM-001,전자상거래 소매업,쇼핑몰 가입비|유료 앱|앱 사용료,운영 도구 사용료,X006,수수료비용,0.78,서비스 운영을 위한 도구 사용료 성격,장기 라이선스는 자산 처리 가능성 검토
FOOD-001,FOOD,DEMO-FOOD-001,한식 일반 음식점업,식재료|쌀|고기|채소|수산물,식재료 구매,X011,원재료매입,0.93,음식 제조 원재료 구입 가능성이 높음,직원 식대 또는 접대비와 구분 필요
FOOD-002,FOOD,DEMO-FOOD-001,한식 일반 음식점업,배달의민족|요기요|쿠팡이츠,배달앱 수수료,X006,수수료비용,0.89,배달 플랫폼 이용료 또는 중개 수수료 성격,광고 상품 결제분은 광고선전비 가능
FOOD-003,FOOD,DEMO-FOOD-001,한식 일반 음식점업,월세|상가 임대료|관리비,매장 임차료,X004,임차료,0.90,영업장 공간 사용료 가능성이 높음,보증금은 자산 성격일 수 있음
FOOD-004,FOOD,DEMO-FOOD-001,한식 일반 음식점업,전기요금|가스요금|수도요금,공공요금,X015,수도광열비,0.88,매장 운영 관련 공공요금 성격,가정용과 혼합된 경우 안분 검토
FOOD-005,FOOD,DEMO-FOOD-001,한식 일반 음식점업,아르바이트|직원 급여|주방 보조,직원 인건비,X003,급여,0.86,종업원 인건비 가능성이 높음,원천세·4대보험 별도 검토
FOOD-006,FOOD,DEMO-FOOD-001,한식 일반 음식점업,냅킨|위생장갑|세제|용기,매장 소모품 구매,X013,소모품비,0.76,영업에 반복 사용되는 소모품 성격,포장용기 일부는 재료비 검토 가능
FOOD-007,FOOD,DEMO-FOOD-001,한식 일반 음식점업,간판|오픈 행사|홍보물,매장 홍보비,X007,광고선전비,0.81,고객 유치를 위한 홍보 지출 가능성,거래처 접대 목적이면 구분 필요
FOOD-008,FOOD,DEMO-FOOD-001,한식 일반 음식점업,주류 면허|협회비|위생교육비,세금/공과금/교육,X018,제세공과금,0.72,공과금 또는 협회비 성격 가능성,벌금성 지출은 별도 검토
FOOD-009,FOOD,DEMO-FOOD-001,한식 일반 음식점업,화물차 주유|배달 오토바이 수리,차량 운영비,X019,차량유지비,0.74,사업용 차량 운영 관련 비용,사적 사용분 제외 필요
FOOD-010,FOOD,DEMO-FOOD-001,한식 일반 음식점업,화재보험|배상책임보험,사업장 보험료,X005,보험료,0.71,사업장 관련 보험료 가능성이 높음,개인보험과 구분 필요
