account_code,account_name,account_group,description,normal_balance,transaction_type,recommended_industry_group,keywords,display_priority,note,source_type
A001,현금,자산,한국은행 발행 주화·지폐 및 통화대용증권,차변,현금입출금,공통,현금;시재;주화;지폐;자기앞수표;현금결제,1,한국은행 발행 주화·지폐 및 통화대용증권,book_base
A002,당좌예금,자산,은행 당좌계약에 따른 수표 발행 목적 예금,차변,당좌수표거래,법인;제조업;도소매업,당좌;당좌예금;당좌수표;수표,2,은행 당좌계약에 따른 수표 발행 목적 예금,book_base
A003,보통예금,자산,예입과 인출을 자유롭게 하는 예금,차변,계좌입출금,공통,보통예금;저축예금;통장;계좌;입금;출금;이체,1,예입과 인출을 자유롭게 하는 예금,book_base
A004,대여금,자산,타인에게 빌려준 금전,차변,자금대여,공통,대여;빌려줌;대여금;금전대여,2,타인에게 빌려준 금전,book_base
A005,외상매출금,자산,상품·제품 매출 후 대금을 외상으로 한 경우,차변,외상판매,도소매업;제조업;서비스업,외상판매;외상매출;나중에 받음;매출채권,1,상품·제품 매출 후 대금을 외상으로 한 경우,book_base
A006,받을어음,자산,상품·제품 매출 후 타인이 발행한 약속어음을 받은 경우,차변,어음수취,제조업;도소매업,받을어음;약속어음;어음수취,2,상품·제품 매출 후 타인이 발행한 약속어음을 받은 경우,book_base
A007,매출채권,자산,일반 상거래에서 발생한 외상매출금과 받을어음의 합계,차변,매출채권관리,도소매업;제조업;서비스업,외상매출금;받을어음;매출채권,1,일반 상거래에서 발생한 외상매출금과 받을어음의 합계,book_base
A008,용역외상비,자산,계정명 확인 필요. 일반적으로 미수금 또는 외상매출금 성격,차변,용역외상거래,서비스업,용역외상;용역미수;서비스대금미수,3,계정명 확인 필요. 일반적으로 미수금 또는 외상매출금 성격,book_base
A009,미수금,자산,일반적 상거래 이외에서 발생한 받을 돈,차변,비상거래미수,공통,미수금;아직 못 받음;비상거래;자산처분대금,2,일반적 상거래 이외에서 발생한 받을 돈,book_base
A010,미수이자,자산,대여금 등에 대한 이자 중 아직 받지 못한 부분,차변,이자수취예정,금융업;투자업;공통,미수이자;받을 이자;이자수익,2,대여금 등에 대한 이자 중 아직 받지 못한 부분,book_base
A011,선급금,자산,상품·원재료 매입 계약 시 미리 지급한 금액,차변,계약금선지급,도소매업;제조업;공통,선급금;계약금;선지급;매입계약,1,상품·원재료 매입 계약 시 미리 지급한 금액,book_base
A012,선급비용,자산,결산 시 차기로 이연되는 비용,차변,비용선지급,공통,선급비용;선급보험료;선급이자;기간경과전비용,2,결산 시 차기로 이연되는 비용,book_base
A013,상품,자산,판매 목적으로 외부에서 구입한 재화,차변,판매용상품매입,도소매업;소매업;쇼핑몰,상품;재고;판매용;매입상품,1,판매 목적으로 외부에서 구입한 재화,book_base
A014,원재료,자산,제품 제조 목적으로 구입한 원료·재료,차변,제조재료매입,제조업,원재료;재료;부품;원료;제조,1,제품 제조 목적으로 구입한 원료·재료,book_base
A015,제품,자산,판매 목적으로 기업 내부에서 제조한 재화,차변,완제품보유,제조업,제품;완제품;제조완료;재고자산,1,판매 목적으로 기업 내부에서 제조한 재화,book_base
A016,유가증권,자산,다른 기업이 발행한 주식·채권 매입분,차변,투자자산취득,금융업;투자업;법인,유가증권;주식;채권;투자자산,3,다른 기업이 발행한 주식·채권 매입분,book_base
A017,토지,자산,영업·생산 활동에 사용하는 토지,차변,토지취득,부동산업;임대업;제조업;공통,토지;부동산;사업장부지,3,영업·생산 활동에 사용하는 토지,book_base
A018,건물,자산,영업·생산 활동에 사용하는 건물,차변,건물취득,부동산업;임대업;숙박업;제조업;공통,건물;사무실;창고;기숙사;공장;점포,2,영업·생산 활동에 사용하는 건물,book_base
A019,기계장치,자산,영업·생산 활동에 사용하는 기계 및 부속설비,차변,생산설비취득,제조업,기계;장치;설비;생산설비;부속설비,1,영업·생산 활동에 사용하는 기계 및 부속설비,book_base
A020,임차보증금,자산,임차 시 맡긴 보증금. 전세기간 종료 후 반환받는 금액,차변,보증금지급,공통;임대업;숙박업;음식점업,보증금;전세;임차보증금;임대차,1,임차 시 맡긴 보증금. 전세기간 종료 후 반환받는 금액,book_base
A021,비품,자산,사업 운영을 위해 취득한 장비·집기·비품,차변,사업용비품취득,공통;정보통신업;교육서비스업;미용서비스업;피트니스,비품;장비;집기;노트북;프린터;미용기기;운동기구,1,기존 ASSET_BUY를 실제 계정과목에 가깝게 표준화,project_extension
L001,외상매입금,부채,상품·원재료를 매입하고 대금은 외상으로 한 경우,대변,외상매입,도소매업;제조업,외상매입;외상구매;나중에 지급;매입채무,1,상품·원재료를 매입하고 대금은 외상으로 한 경우,book_base
